哀悼	参加追悼会的人向死者表示深切的哀悼。//$
选拔	我们应谈选拔更多优秀的年轻人担任管理人员。/越来越多的女性被选拔到了领导岗位上。//$
选购	在超市，顾客可以自己选购满意的商品。/市场上商品丰富，顾客可以任意选购。//$
选修	今年他选修了中国历史。/因为对汉语很感兴趣，他选修了别的大学的汉语课。/我选修的课程尽量结合专业。//$
选择	在父母的鼓励下，他选择了学习法律专业。/和平是全世界人民共同的选择。//$
选举	我们单位将选举出一名代表参加大会。/在这次会议上，代表们将选举新的领导集体。//$
炫耀	他的父亲提升为局长以后，他四处炫耀。/虽然才华出众，但他从不在别人面前炫耀。/她爱炫耀自己的财富，结果给自己惹了祸。/他学问有限，却喜欢炫耀，所以常常被人笑话。//$
渲染	这件事不值得如此渲染。/名人的感情生活常常被渲染成美丽的爱情故事。/在这篇小说里，作者通过对环境的渲染更好地反映了人物的思想。/$
削	
削减	公司正在考虑削减不必要的开支，以增加员工收入。/由于缺少资金，他们只好削减研究经费。//$
削弱	不断的战争削弱了双方的势力。/多名主力队员受伤，削弱了这支球队的力量。/技术的落后削弱了产品的竞争力。/$
学	他从小就跟着爷爷学画画儿。/那个女孩儿想学好外语，将来当一名翻译。/他学了四年英语，现在说得非常流利。//$他会学鸟叫，学得特别像。/孩子小的时候，喜欢学大人的样子。/他学那个著名演员学得像极了。/他的模仿能力很强，学什么像什么。//$
学习	努力学习知识是学生的任务。/我们应该向外国学习先进技术和管理经验。/对孩子们来说，游戏就是一种学习。//$
熏	他抽烟抽得很凶，手指都被熏黄了。/因为常年做饭，厨房的墙被熏黑了。/臭气熏人。/烟太大了，我被熏得眼泪都下来了。/$每年过年，妈妈都会做熏鱼给我们寄来。/这些肉熏一下一定更香。/这个鸡是自己家熏的，又嫩又香。//$
熏陶	他从小就深受中国文化的熏陶。/因为父母都是戏剧演员，这个孩子从小就受到戏剧的熏陶。/在家庭的熏陶下，他从小就热爱文学。//$
询问	父母向我询问学校的情况。/经理向售货员询问销售情况。/厂长详细地询问了新产品开发的过程。/班长询问大家对班里工作的意见和建议。//$
寻	这小姑娘长得真好看，等大了奶奶给你寻个人家，好不好？//$
寻访	因为儿子生病，他们四处寻访名医。/他想通过电视台寻访当年帮助过他的人。//$
寻找	他四处寻找丢失的资料。/他一直在寻找合适的合作伙伴。/$
巡回	今年，我们剧团计划到各地进行巡回表演。/这些作品将在全国巡回展出。//$
巡视	明天，市长将来我们学校巡视。/为了保证安全，晚上保安人员四处巡视。//$
循环	血液在人的体内循环。/我们这儿的水是循环使用的。/由于管理不好，公司经营上出现了恶性循环。//$
训	他被训了一顿。/好家伙，他训起人来真凶啊！。/每次我犯了错，妈妈都耐心地给我讲道理，从来不训我。//$
训练	运动员每天要训练好几个小时。/在部队，她被训练成一名优秀的女兵。/新员工在上岗以前都要接受岗位训练。/她把那条小狗训练得能表演节目。//$
驯	
讯问	因为涉及一起犯罪案件，他被警察带去讯问了两个小时。/通过讯问相关人员，他们找到了重要的线索。//$
压	用手把书压住。/箱子底下压着一件衣服。/担子很重，压得我肩膀疼。//$这件事不能压着不办。/这些东西质量太差，压在仓库里卖不出去。/老师生病了，学生们的作业压了一大堆。/一堆稿子,压在我桌上没看。//$
压迫	他领导人民反抗统治者的压迫。/他们把农民压迫得无法生活。//$
压缩	把这篇文章压缩一下。/他们学校要压缩其他经费来增加教学经费。/开会的时间需要压缩一下。//$
押	我把工作证押在了值班室，看门人才让我进来了。/把车押在这儿，交了罚款再还你。/租汽车时要先押一些钱。//$抓到的人押到哪儿了？//$把小偷押起来。/把犯罪嫌疑人押在公安局。/他们押着小偷去派出所。/运现金的车由两名武装人员押着开走了。/$
哑	小时候发了一次高烧，他就哑了。//$
轧	车轮把小麦都轧倒了。/他的腿让汽车轧断了。/小心，躲开车！别轧了脚。//$
淹	大雨过后，很多村庄被淹了。/这条河淹死过好几个人。/房子被淹在水里。//$
淹没	大水淹没了庄稼。/村庄被大水淹没。/这个村子在山上，再大的洪水也淹没不了。/$掌声淹没了她的歌声。/他很快就淹没在人群里。/低矮的房子淹没在新建的楼群里。//$
腌	把肉放在盐水里腌一腌。/菜腌得太咸了。/吃腌过的食品。//$
 延	会议往后延了三个小时才结束。/时间不够，再往后延一延。//$这个会今年不开了，延到明年再开。/我们的旅行延到下星期三出发。//$
延长 	会议延长了两个小时。/公路再延长两公里就到那个村子了。//$
延期	考试延期三天。/他延期一个月回国。/由于下雨，运动会延期举行。/会议延期了，我不得不晚回去几天。/$
严肃	
沿用	不能沿用以前的教学方法。/这家老药店一直沿用几百年以前的方法制药。/人们把沿用了几百年的老办法放弃了。//$
研究 	他在研究地球的发展历史。/调查研究是科学发展的基础。/$学校正在研究减少学费的问题。/今天开会研究教学改革。/这件事我们要研究研究再说。/$
研讨	他们在研讨解决问题的办法。/经过研讨，我们对这个问题的认识更深刻了。//$
研制	这是中国自己研制的人造卫星。/这个药厂研制了一种治疗癌症的新药。/企业要不断研制新产品才能发展。/他们研制出的汽车是目前世界上最先进的。//$
掩	他躺在草丛里，用报纸掩着脸睡觉。/从游泳池出来，她用毛巾掩着身体。//$掩上窗帘，不要让阳光照进来。//$
掩盖	大量的沙子掩盖了草原用布掩盖着尸体。/大雪掩盖了田野。/$敌人想用这种办法掩盖他们的罪行。/谎话掩盖不了事实。//$
眼看	你眼看着花干死，就不知道浇水。/我眼看着朋友有困难，却没有办法帮助他。/你眼看着钱包被人抢跑，自己却追不上。/他眼看着火车开走，才离开了火车站。//$
演	今天晚上礼堂演电影。/他在这部电影里演主角。/她已经演了几百场京剧。/她在这部话剧中演得很精彩。/因为角色没演好，他心里很难受。//$这个电视剧前几年已经演过了。/这个电视剧一天只演一集。//$
演唱	他们要去听演唱会。/他演唱得很成功。//$
演奏	小提琴家为观众演奏了一首古典乐曲。//$
演出	礼堂今天演出大型话剧。/由于下雨，露天演唱会不能照常演出了。/$
演习	这个部队今年要参加一次大规模军事演习。/演习结束后，他们部队成绩优异，受到了表扬。//$
厌	别说了，我早就听厌了。//$
厌倦	他厌倦了这种整天忙忙碌碌的生活。/不到半年，他就厌倦了这种工作。/我对打篮球早就厌倦了。/他做任何工作都会很快感到厌倦。//$
厌恶	我厌恶撒谎的人。/他的话让人厌恶。/他厌恶别人告诉他该怎么做。/他这种做法太让人厌恶了。//$
咽	他渴得直咽唾沫。/孩子费了很大劲儿才把药咽下去。/蛇能咽下比自己的头还大的东西。/话到嘴边又咽了回去。//$
宴请	今天晚上校长宴请外国客人。/这次宴请花了很多钱。//$
验	海关官员让他们开箱验货。/她的脸有点儿肿，朋友劝她去医院验验屎。//$
验证	任何结论都要通过试验来验证一下。/他想验证一下教练是否像人们说的那样严厉。/通过验证，他们发现这批产品的质量不合格。/他的失败验证了父亲对他的警告。//$
扬	小孩喜欢扬沙子玩儿。/把麦子扬干净。/汽车开过去后，地上扬起很多土。//$把头扬起来。/他向我扬扬手，算是打招呼了。/孩子扬起脸，认真听老师讲故事。//$
扬言	有人扬言要报复。/他扬言要让那些欺负他的人看看他的厉害。/公司老板扬言要在三年之内超过所有的竞争者。//$
仰	把头仰起来。/孩子伸着小脑袋数星星。//$
养	他从十八岁就开始挣钱养家。/老王的工资太低，养不起两个孩子。/他一个人挣的钱养得了全家。/老人辛辛苦苦把孩子养大。//$他喜欢养宠物。/他家养着三只猫。/他很会养花。/$你身体不好，需要好好养一养。/他在家养了七个月，身体才恢复过来。/他整天什么也不干，在家里养得白白胖胖的。//$
养老	她把父母接到北京来养老。/$现在年轻多挣点儿钱，等以后好养老。/他早不工作了，在家养老。/这个地方很适合养老。//$
养殖 	海边有很多鱼虾养殖场。/这片海水里养殖了很多螃蟹。//$
养成	近几年他养成了跑步锻炼的习惯。/不要养成睡懒觉的习惯。/要从小养成良好的卫生习惯。/他的自私是从小养成的。//$
夭折	他有一个弟弟夭折了。/孩子出生不久就夭折了。/$因为没有足够的钱，旅行计划夭折了。/他们的行动最后还是夭折了。/连续三次试验都夭折了，这次一定要成功做完。//$
要求	学校要求学生不要迟到。/他要求朋友帮他一个忙。/妈妈要求他必须按时回家。/$
要挟	犯罪分子用他的过失要挟他交10万块钱。/不要用那件事来要挟我。/有些孩子受坏人的要挟去偷东西。//$
邀	星期天邀几个同学去爬山。/他邀我去他家吃饭。//$
邀请	我被邀请参加明天的会议。/老师邀请学生到家里聊天儿。/他还没有接到大会的邀请。/这次大会共邀请国内外代表五百多人。/$
摇	把瓶子用力摇一摇。/小船在水里摇来摇去。/他向我摇摇手，叫我不要大声说话。//$
摇摆	风太大，船摇摆得很厉害。/小狗摇摆着尾巴。/鸭子摇摇摆摆地向河边走去。/他的想法摇摆不定。//$
摇晃	他不停地摇晃着手中的报纸。/蜡烛的光在黑暗里摇晃着。/车在山路上不停地颠簸、摇晃，我感到非常难受。//$
咬	他被狗咬了一口。/她牙疼得不能咬东西。/猫咬住了老鼠的尾巴。/她疼得直咬牙。/$
要	我要一个苹果。/我去要回借给他的书。/这件衣服我还要呢，不能丢掉。/请整理一下报纸，要的留下，不要的扔掉。//$老师要我写一篇作文。/我要他帮我买一本词典。/我并没要他走，可他自己非要走。/孩子没要妈妈去接，自己回家了。//$这么大的窗户，要多大的窗帘呀?。/我自己能行，不要你帮忙。/从我家到学校要半个小时。/这种电脑要七千块钱。//$天太黑了，路上要小心啊。/下午会下雨，出门要带上雨伞。/明天有考试，我们要早点儿睡。/他要在家照顾老人，没办法工作。//$星期天我要去长城。/儿子说长大了要当科学家。/今年冬天我们要学滑冰。/他要买一张大点儿的床。/$
掖	他喜欢把衬衣掖在裤子里。/孩子把被子踢开了，快给他掖一掖。/他把信掖在门缝儿里。/$
冶炼	他在一个冶炼厂工作。//$
野餐	明天去野餐。/野餐时注意防火。/这里风景很好，周末有很多城里人来野餐。/$
依靠	依靠大家的帮助，我完成了任务。/依靠大家的团结，我们终于战胜了困难。/他们依靠救济金生活。/$
依赖	孩子长大了不应该依赖父母。/自己的事怎么能依赖别人呢？。/别依赖一种药，一种药吃得太多了就没有效果了。/$
医	中医医好了他的头疼病。/有的医生很高明，有的医生只会头疼医头，脚疼医脚。//$
医疗	她参加一个医疗队到农村去了。/既要重视医疗，也要注意预防。//$
宜	这种事宜慢不宜快。/处理这样的事宜粗不宜细。//$
移	把自行车移到一边。/把桌子移过来。移一移你的椅子让我过去。/他把花儿移到花盆里了。///$
移动	目标正向北方移动。/移动速度非常缓慢。/这座房子是可以移动的。/坐在这里脚不能移动。/这个东西不是固定的，可以前后移动。/他伤得很重，现在最好不要移动他。//$
移居	她三年前移居到上海了。/他们家已经不在这儿住了，去年移居外地了。//$
移民	清朝的时候曾经向北京大批移民。/战争年代，很多人离开家女，移民外地。/他们家要移民海外。/$
移植	移植庄稼需要技术。/他们把一些草移植到沙漠里。/这些树是从热带移植来的，长得很不错。/$这家医院掌握了先进的移植技术。/他的孩子成功地做了肝脏移植手术。//$
遗失	不小心遗失了证件。/本人遗失钥匙一把，请拾到者送到208室。/他遗失了图书馆的一本书。//$
遗传	他的病是遗传的。/他的急脾气也遗传给了儿子。/这种病不遗传。/遗传工程是生物学上非常重要的技术。//$
遗留	以前的厂长遗留下很多债务。/我们要保护好祖先遗留下的珍贵文物。//$
疑惑	他的话搞得我很疑惑。/这件事我还感到疑惑。/他说的都是真话，别疑惑了。/$
疑心	我疑心他有什么事瞒着我。/他最近总是疑心自己得了什么病。/孩子们总是疑心黑暗的地方有妖怪。/她疑心自己忘了锁门。/$
已婚	我哥哥今年30岁，已婚，在一家公司工作。/已婚的妇女才做这项身体检查。//$
以为	我以为这种颜色的衣服比较大方。/他以为，只有技术改进了，质量才能提高。/这个建议我以为很有价值。/$我以为他会来我以为电影很好看。/我以为是小王呢。/我以为自己是对的。//$
倚	跑累了，他倚在树上休息了一会儿。/孩子把头倚在妈妈的胳膊上。/她倚着枕头睡着了。//$
倚靠	墙不结实，不能倚靠。/孩子倚靠在妈妈身边看电视。/一对恋人互相倚靠着，在湖边慢慢走。/$老人倚靠救济金过日子。/孤儿院建好了，孤儿们从此有了倚靠。/自己的事自己去办，不要总是倚靠别人。/亲人都不在了，他没有什么可以倚靠的了。//$
议	这个问题请大家来议一议。/这件事，我们议了一下，有个初步意见，您看行不行。//$
议论	大家议论议论这件事。/最近大家都在议论这个电影他们几个喜欢在背后议论别人。/这种议论最好不要参加。/别人对我的议论我都不在乎在大家的议论中，既可以听到表扬，也可以听到批评。//$
忆	大家忆起大学时的生活，仍然感到很亲切。//$
屹立	一栋栋高楼屹立在城市中。/平原的尽头屹立着一座高山。/纪念碑屹立在广场中央。//$
抑制	他抑制不住激动的情绪，大声喊了起来。/这种情况下谁都很难抑制住恐惧。/政府采取了措施，抑制物价上涨。//$
译	把书译成英文。/他的书被译成多种文字。/那本小说你译完了吗？。/这本书有好几种译本，这种译得最好。//$
溢	一场大暴雨过后，河里的水溢到了岸上。/锅里的粥溢出来了。//$
肄业	他在本校肄业。/他因为有病，大学没毕业，只是肄业。//$
意识	他意识到自己失去了唯一的机会。/看着在风中飞舞的落叶，他意识到秋天已经来了。/看着朋友们一个个都取得了事业的成功，他意识到自己应该改变一下了。/$
意味着	大学毕业意味着新生活的开始。/结婚意味着要承担起家庭的责任！他的话意味者他不同意这么做。/现在工作很难找，毕业有时候就意味着失业。//$
阴谋	敌人阴谋进行反攻这家伙阴谋陷害好人。/$
音译	“香槟”是法文Champagne音译过来的。/这个词为什么用音译？。/大部分外国地名都用的是音译。//$
吟	熟读唐诗三百首，不会作诗也能吟。//$
引	校长引着记者参观学校。/把水引进稻田。//$他故意大声叫喊，引别人注意。//$他的文章里引了很多别人的观点。/这段话是从哪儿引来的？。/这句话被引来引去，大家都非常熟悉了。//$
引导	经理引导大家参观了整个商场。/你在前边引导，我们跟着你。/整个参观过程都由厂长在前边引寻。/$学语言需要好老师的引导。/小孩子思想还不成熟，需要大人的正确引导。/在老师的细心引导下，他终于找到了自己的努力方向。//$
引见	我给你引见一位朋友。/他给我引见他们的老板。/经他引见，我认识了一些新朋友。/要不是你引见，到现在我可能还不认识他呢。//$
引进	引进新的技术以后，工厂的生产效率大大提高了这是我们最新引进的管理方法。/改革开放以来，中国引进了不少国外资金和技术。//$
引起	为了引起大家的注意，他敲了敲桌子。/他的发言引起一阵议论。/火灾是由没有熄灭的烟头引起的。/这一事件引起的后果是非常严重的。/他的发言引起一阵掌声。//$
引申	这个词本来只有一个意义，现在引申出很多新的意义。/“颜色浅”、“眼光浅”中的“浅”都是引申意义。//$
引诱	坏人用钱引诱小孩儿做坏事。/由于受了金钱的引诱，他走上了犯罪的道路。//$
引用	他喜欢引用名人的话来说明自己的观点。/这句话常常被人引用。/他的文章里引用了一个有名的例子这句话引用得很合适。//$
饮	
饮用	这里的水不能饮用，只能洗衣服。/宴会上准备了很多饮料，客人可以随意饮用。/这里的水可以直接饮用。//$
隐蔽	敌人隐蔽在树林里。/孩子隐蔽在墙后。/他隐蔽了很多年不敢露面。/他隐蔽得很好，一直没有被发现。/看到敌人来了，大家都隐蔽了起来。/$
隐藏	老鼠在洞里隐藏了一些食物。/警察正在寻找隐藏在山里的坏人。/她把几个伤员隐藏在山洞里。/$
隐瞒	罪犯总想隐瞒住自己犯罪的事实。/这种事情是隐瞒不住的。/他隐瞒了自己的身份。/这件事他隐瞒了很多年。//$
印	你的论文可以到那家印刷厂去印。/这儿印的东西质量很好。//$他的样子深深印在我的脑子里。/这件事印在我的记忆里，永远也不会忘记。/爸爸的话永远印在我的心中。//$
印刷	我们一定保证印刷质量。//$
印制	这家印刷厂印制各种印刷品。/国家有专门的机构印制货币。/这本杂志印制得很精美。//$
饮	到河边饮马。/把牛饮一饮。/他给小猫饮水以后才离开。/饮牲口的水受到了污染，很多牲口都病倒了。//$
应	我们应早点儿去。/你提前打个电话。/我们应告诉他这件事你们不应责备他。//$
应当	
应该	天快黑了，他应该到家了。/我不应该让他一个人去。/这件事应不应该告诉他呢?。/你这样做太不应该了。//$
迎	客人来了，他亲自迎到门口。/客人快到了，你去门口迎一迎。//$他迎着风向前走。/红旗迎风飘扬。/一下车就看见妈妈迎着我走来。//$
迎接	校长亲自出门迎接贵宾。/老同学都出来迎接新同学总理到机场迎接外宾。/$用辛勤的工作迎接教师节//$
迎新	一开学，学校就组织了一系列迎新活动。/参加迎新招待会。/$
营业	这家商店上午九点开始营业。/很晚了，那家小商店还在营业。/本店今日不营业。/这家酒吧一直到凌晨四点才停止营业。/药店一般都是24小时营业。//$
盈利	今年公司盈利1500万元。/你们单位是盈利了还是亏损了？。/这家工厂希望通过引进先进设备来盈利。/$
赢	这次比赛对方赢了。/这场球赢得很艰难。/这场球是输是赢很难预测。/上次打篮球他们赢了我们五分。//$
赢得	他的演说赢得大家的一阵掌声。/我们球队赢得了这场比赛的胜利。/运动会上，这支队伍共赢得25枚金牌。/这家商店由于讲信誉，很快赢得了顾客的信赖。//$
影响	这句话影响了我的一生。/这种观点影响很广泛。/这本书对年轻人影响很大父母的言行往往会影响孩子。/在他的影响下，他儿子成了一位作家他喜欢音乐是受了他妈妈的影响。/$
应	他听到屋里有人应了一声。//$应观众的要求，本剧加演三场。//$
应用	应用先进的技术提高生产效率。/这种方法很有应用价值。/这种技术应用得很普遍。/他的发明还没有被广泛应用。//$
应邀	应邀出席大会的有不少专家学者。/他应邀来参加今天的毕业典礼。//$
应酬	我们不太熟，只是见了面说几句应酬的话。/他又来了，你去应酬他几句吧。/我实在太忙，可人家来了，我也得应酬应酬。/$
应付	经理要去开会，这儿你先应付一下儿。/最近事太多了，我都应付不过来了。/$这种小事应付应付就行了，不用太认真。/为了应付考试，他只是在考试前一天翻了翻书。/对任何事情，都不要随便应付，应该认真去做好。//$
拥	他把孩子拥在怀里。/孩子把球拥得紧紧的，害怕被别人抢走。/他们激动得拥在一起。/$大家拥到电影院门口。/一群记者拥上来采访他。/歌星被歌迷拥着进了剧场。/很多人拥上去，把他抬了起来。//$
拥抱	他们拥抱在一起，久久不愿分开在中国，朋友见面一般不拥抱。/在有些国家，拥抱是一种礼节。//$
拥挤	坐车时请先下后上，不要拥挤。/为了赶快出去，大家都在互相拥挤。/由于人群拥挤，有人受了伤。/$
拥护	对新政府的改革措施表示拥护。/新领导得到了群众的拥护。/没有人民的拥护，任何政府也不可能长时间地存在。//$
拥有	中国拥有13亿人口。/这个国家拥有先进的武器。/他们拥有的财产多得难以用数字来计算。/我们拥有广阔的土地和丰富的资源，这都是我们进一步发展的有利条件。//$
涌	泉水从地下涌出来。/眼泪一下子涌了出来。/大雨过后，大水从山谷里涌向大河。/鲜血从伤口中涌出来。//$
涌现	最近涌现出一批好人好事。/新人新事不断涌现。/我们学校今年涌现出很多优秀的青年教师。/近几年涌现出来的好作品很多。//$
用	用左手写字。/用袋子装苹果。/终于有一家公司用他了。/这几个外国人在用中文交谈。//$用十五块钱买了一本好书。/吃一顿饭还没用二十块钱呢。/用了一个晚上整理行李。/从我家到学校只用七分钟。//$这儿用不用我帮忙？。/大家都知道的事，还用你说吗？/$
优待	这家饭店优待残疾人，吃饭给他们打八折。/公园半票优待军人。/感谢你们给我的优待条件。/他们在这儿受到了优待。/他们给我优待是有条件的。//$
优化	对企业的管理进行优化改革。/整顿以后，干部队伍得到了优化。/我们用的种子都是经过优化的。/只有优化产品结构，才能在竞争中取得胜利。//$
优生	国家提倡少生、优生的计划生育政策。//$
优育	我们不仅提倡优生，还要提倡优育。//$
由	不能什么事都由着孩子。/对小孩子不能总是由着他们。/这件事不能由你，你得听我的。/他想去哪儿由他，我不管。//$
邮	书店把我买的书邮过来了。/他给家里邮去一些钱。/这个邮局邮不了水果。//$
油	把门油一油。/把墙用白漆再油一遍。/桌子已经油过了。/屋子里所有的家具都重新油了一遍。//$
油漆	椅子刚油漆好，不要坐。/衣柜油漆了三遍了，她对颜色还不满意。/把大门油漆一下儿。//$
游	今天他游了一千多米。/她在水里游了两个小时。/他游到岸边。/鱼在河里游来游去。//$今天我们去游香山。//$
游览	游览动物园的时候，孩子们都很兴奋。/游览过小岛后，大家都感到很累。/到海滨的小村子去游览。///$
游玩	到郊外去游玩。/在湖边游玩。/一起游玩的几个朋友都喜欢爬山。/这儿可以游玩的地方很多。/$
游戏	孩子们在河边游戏。/游戏中，一个孩子摔倒了。/这家商场专门为孩子准备了游戏的地方。/$
游行	为了反对战争，市民们都上街游行了。/游行的人很多。/他参加了昨天的游行。/我没有去游行，所以不知道发生了什么事。//$
有	我有一个姐姐。/我们有一位好老师。/大家都有信心做好这件事。/她有一颗善良的心。/有问题可以来找我。//$桌子上有一支笔。/河里有很多鱼。/心里有事儿，睡不着。/天上有只鸟儿在飞。//$他有两米多高。/他长得有你那么胖。/水有一人多深。/情况有你说得那么严重吗？//$他哥哥有病，不能来了。/明年工作条件会有一些改善。/情况有变化，我们得改变计划。/有什么情况给我打电话。//$这个人做事很有头脑。/他读过很多书，很有学问。/$有一次我在街上碰到他了。/有一年冬天下了很大的雪。/有一天她忽然出现在我的面前。/外边有人敲门。/有入说汉语很难学，其实并不太难。//$有人赞成，有人反对。/有学生学得快，有学生学得慢。/中国有的地方很富，有的地方很穷。/一年里，有时候很冷，有时候很热。/$
有关	有关领导出席了开幕式。/把有关同学叫来开会。/这些事情肯定跟她有关。/这些问题跟环境保护有关。/$今天的讲座是有关安全问题的。/她在收集有关新词语的资料。/有关儿童教育的书我都买。/这件事有关公司的信誉，一定要处理好。//$
有所	他想在这次演出中有所表现。/年轻人应该有所作为。/他对考试有所畏惧。/我对他的话有所怀疑。//$
有意	我们有意暑假去旅游，你去不去？。/我有意邀请大家去我家玩儿，但一直没时间。/她有意到那家报社工作。/那家公司有意接收你。/$
诱骗	他受坏人诱骗偷了东西。/他用钱诱骗年轻人帮自己做坏事。/对诱骗少年犯罪的人要严厉打击。//$
余	买完东西，口袋里还余两块钱。/她每月工资都花光，余不下钱。/去年还余下一些粮食。//$
淤	大水过后，河里淤了很多泥。/泥沙淤满了河道。//$血淤住了。//$
淤积	下过大雨以后，院子里淤积了一层泥。/由于河里泥沙淤积得太多，河水流得很慢。/工人们在清理淤积在湖里的泥沙。//$
逾	年逾七十的老人。///$
逾期	7月10日至15日报名，逾期不候。/本周内交作文，逾期不交影响成绩。/我们一贯按时交货，从未逾期。//$
娱乐	今天休息，大家可以出去娱乐一下。/我们下棋完全是为了娱乐。/除了唱歌，这儿没有别的娱乐活动。/他这个人，只会工作，不会娱乐。/$
与	与人方便，自己方便。/将文件交与学校领导。/那家公司将一批电脑赠与乡村的小学。//$
予以	对有特殊贡献的人应该予以奖励。注意“予以”后面必须带双音节动词宾语。//$
与会	与会者一致通过了提议。/昨天有150多人与会。//$
预报	他每天都看电视台的天气预报。/电台预报明天有雪。//$
预备	他在预备晚饭。/明天有考试，我要预备一下。/明天拿的东西预备好了没有？。/我要预备下一笔钱给孩子上大学用。/$周末我们预备去郊区玩儿。/我预备坐出租车去，但他说开车送我。//$
预测	你预测这场比赛哪个队会赢？。/专家预测得很准，最近果然有流行性感冒。/我们的预测得到了证实。//$
预订	我们这儿没法预订这种杂志。/他预订到两张去上海的火车票。/我们预订的家具已经送来了。//$
预防	这种病现在还预防不了这种事儿没办法预防。/为了预防交通事故，市政府决定加宽这条路。//$
预料	
预期	预期的目标达到了。/我们预期本公司明年会有更大的发展。/今年预期会有更多外国学生来这儿学习。//$
预示	这一举动预示着什么？。/经济的发展预示着对人才的需求将会进一步增加。/大风预示着天气将要变冷。/他的话预示最近要有某种变化。//$
预习	他每天晚上都预习第二天的功课。/好好预习下一课。//$
预言	专家预言中国的经济在今后几年会有更大的发展。/科学隶预言，如果不注意保护环境，人类将会面临巨大的灾难。/谁也不能预言IOO年后世界会是什么样子。/$
预约	总经理很忙，你看望他之前应该预约。/我们预约明天见面。/我跟大夫预约下星期再去检查一次。/已经过了预约的时间了。/$
遇到	在路上遇到一个朋友。/千万不要遇到交通堵塞，否则就麻烦了。/遇到有什么需要帮忙的事儿，给我打个电话就行了。//$
遇见	
愈	久病未愈，难以出席会议。/$
冤枉	你要这么说可冤枉死我了。/他被冤枉得要自杀。/没有冤枉你，我们有证据。/$
援助	学校的发展得到了社会的大力援助和支持。/政府在想办法给穷人更多的经济援助。/向他们提供援助。///$
原定	我们原定今天出发，但临时又改变了时间。/这星期原定要举行一次运动会，但由于天气不好而取消了。//$
原谅	请原谅，我不是故意的。/妈妈原谅了他的错误。/这样的错误是不可原谅的。/请你原谅他一次吧，他毕竟还是个孩子。//$
怨	这件事没办好，都怨我。/他们几个都怨我来晚了。/你怨我，我又怨谁。/这事谁也不怨，只怨我们运气不好。//$
怨恨	她谁也不怨恨，只恨自己太软弱。/不要怨恨别人，只怪你自己。/怨恨谁也没用，还是想想以后怎么办吧。/$
愿	我愿为了实现自己的理想而努力。/你愿不愿去上海?。/大家谁都不愿告诉他这个坏消息。//$
愿意	愿意不愿意？。/你愿不愿意？——愿意。/让他去买东西，他有点儿不愿意。/没人愿意用旧电脑。/大家选他当组长，他愿意得很。/$我们都愿意他当校长。/我们也不愿意出这种事故。/星期日，他在家里休息，哪儿也不愿意去。 /$
约	约她一起吃饭。/我约了几个同学去医院看望老师。/我们几个约的见面时间是下午五点。/约好的地点不能变。//$约了几个朋友来我家玩儿。/我约了她来作个学术报告。//$
约定	我们约定五点见面。/咱们约定一个地方，到时候大家去那儿集合。/几个朋友约定星期天去爬山。/约定的事情怎么能随便改变呢？//$
约会	他们俩已经约会了好几次了。/今天你们在哪儿约会？/$
约见	总统约见了各国大使。/校长要约见几位外国客人。//$
阅	文件已阅//$
阅读	孩子刚上小学，还不能阅读报纸。/他的汉语阅读能力很强。/大家先听录音，然后再阅读课文。/细心阅读了这篇论文。///$
阅览	这里的书报只供阅览，不外借。/阅览后清您将书报放回原来的地方。/周末我经常去图书馆阅览杂志。//$
跃	猴子在树枝上跃来跃去。/他轻轻一跃就上了马。/麻雀一跃一跃地在草丛里寻找食物。/他向上跃了一下，没有够着树枝上的羽毛球。//$
越	
晕	我有点儿头晕，要躺一躺。/我盯着电脑看了一上午，头都看晕了。/他眼前一晕，差点儿摔倒。/老人心脏病发作，一下子晕了过去。//$
云集	北京人才云集。/各国著名企业家云集上海。/人们云集在广场上，等着看升国旗仪式。//$
耘	庄稼都要耘两三遍。//$
匀	这两袋苹果不一样多，你匀一匀。/你盛饭的时候要匀一下儿，让每碗饭差不多。//$这些水果太多了，我匀一半给你吧。/您要是用不了那么多，就匀一点儿给我。/请匀个地方让他坐。//$
允许	教室里不允许抽烟。/没有经过他允许，谁也不能进那间屋子。/请允许我代表公司向大家表示感谢。/得到经理的允许后我们才能开始工作。/要是时间允许，我还想参观一下博物馆。//$
酝酿	现在学校正在酝酿新的教学计划。/今天开会酝酿一下参加比赛的名单。/他们已经酝酿好了工作的程序。//$
运	粮食运得很及时。/
运输	火车把水果从农村运输到城市。/这种车不能用来运辕太重的东西。/他们只管运输，不管装卸。//$
运载	古代，人们用马车运载货物。/这种车是运载乘客的，不运载货物。/小车运载不了这么大的东西。/那辆货车运载的水果堆起来像小山一样。//$
运动	宇宙永远都在运动。/物质处在不停的运动之中。/$
运行	月球围绕地球运行。/人造卫星的运行速度很快。/列车运行时间有了变化。/轮船在两个港口之间来回运行。/$
运转	地球绕着太阳运转。/$一旦停电，所有的机器将不能运转。/发动机运转不了了。/$新成立的部门已经开始运转。/工程运转良好。/由于资金不足，公司的运转出现了问题。//$
运算	加法、减法、乘法、除法都是数学的运算方法。//$
运用	他知道怎样运用自己的优势来取得成功。//$
晕	
蕴藏	这里蕴藏着丰富的石油资源。/我们省地下蕴藏着多种矿物。/$
熨	把大衣熨一熨。/他把衬衫熨坏了。/裤子被她熨好了。//$
扎	用绳子把口袋扎起来。/农民干活的时候，常常把裤腿扎起来。//$
